year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,rate_sheltered,rate_unsheltered,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_islander,percent_population_0_19,percent_population_65_plus,percent_female_population,percent_Jan_precipitation,percent_annual_precipitation,log_homeless
2017,AR-505,88.0,88.0,0.0,302119,3.4608635283444,1.42362296581268,21.2173442840576,10.0233058929443,26.6027145385742,32.4290008544922,8.37034130096436,0,0,2.48912334442139,0,0,5.19355964660645,46.9661979675293,20.2784328460693,4.71474933624268,86.3240203857422,5.74810647964478,109597,10963,1824,141,76605,52990,152783,-2920,0.179014503955841,30.5314292907715,36.5170974731445,9.28153038024902,82.891716003418,9.24535025721653,0.131282508373261,49.0451469421387,81.5437850952148,3.9639356136322,57.3016395568848,2.9127595417699648,2.9127595417699648,0.0,0.36276103124927594,0.03628702597320923,0.0060373561411232,0.0004667035174881421,0.25355902806510017,0.17539446377089823,0.505704705761637,1.3120444638146558e-05,0.00018966579247543122,1.0691009279755517
2017,AR-512,53.0,27.0,26.0,102574,-4.42236705976623,1.49607181549072,14.7862195968628,11.787971496582,17.5409088134766,24.5447406768799,8.8613338470459,0,0,2.00621867179871,0,0,3.9510931968689,44.1470336914063,15.3274717330933,2.56277108192444,91.8847351074219,6.24018478393555,343,2340,537,51,22052,26647,52296,740,0.630225777626038,28.6786403656006,20.290678024292,14.4922971725464,83.1205825805664,7.9299484269893,0.139039754867554,40.1693115234375,77.5562133789063,1.90942347049713,42.5615310668945,5.167001384366408,2.6322459882621327,2.5347553961042757,0.003343927311014487,0.022812798564938484,0.005235244798876908,0.0004972020200050695,0.21498625382650574,0.2597831809230409,0.5098368007487277,1.8615082481887515e-05,0.00041493488668565626,1.6422925172296117
2017,AZ-500,1768.0,1046.0,722.0,1662740,1.73348800345731,1.91272747516632,17.183557510376,13.7281255722046,23.5794544219971,31.0147609710693,8.01382541656494,0,283,5.138671875,0,0,8.03301429748535,44.4088859558105,18.1458301544189,0.933846712112427,90.1772155761719,2.57545185089111,34991,470720,20577,2988,416348,351511,820709,17289,1.11815750598907,25.5688076019287,26.6785850524902,13.2561521530151,81.8752670288086,9.43357239606914,0.158608421683311,44.658519744873,81.9929962158203,2.03709673881531,12.0622787475586,10.63305146926158,6.290821174687564,4.3422302945740165,0.021044180088288008,0.2830989811997065,0.012375356339535947,0.0017970338116602715,0.25039873943009733,0.21140466940110902,0.4935882940207128,1.225144483692766e-06,7.2544587533580725e-06,2.3639672131784017
2017,AZ-501,1574.0,1189.0,385.0,1012519,-5.25587558950772,1.94304895401001,13.3000001907349,14.3814849853516,28.100564956665,38.6936950683594,7.83886098861694,0,8056,3.96191096305847,1,0,4.95036172866821,47.1300010681152,17.8281097412109,2.04294633865356,94.0,2.45237636566162,33697,374543,29667,1505,248006,189463,514341,5436,0.408793687820435,30.7357273101807,28.9836025238037,12.9465560913086,70.3765029907227,8.71023,0.169705122709274,50.310001373291,85.9266662597656,1.26999998092651,10.8199996948242,15.545387296435917,11.742989514270842,3.8023977821650754,0.03328036313392638,0.36991207078583216,0.029300190909997737,0.0014863918603008931,0.24493960113341082,0.18712043922138746,0.5079815786172901,1.2542974313830259e-06,1.0686218920162682e-05,2.7437639577346697
2017,AZ-502,5605.0,3546.0,2059.0,4233383,24.3555633096349,2.11625552177429,15.8999996185303,14.4752445220947,23.8907985687256,39.6407508850098,7.82423305511475,0,0,4.41064500808716,1,0,4.56641721725464,46.8199996948242,14.7617874145508,1.38854169845581,94.0,0.973094701766968,222940,1305207,169928,7988,1150799,612897,2139334,55537,0.258954405784607,27.0296211242676,25.1563282012939,9.61328029632568,68.633415222168,10.10427,0.185377478599548,51.9300003051758,90.7366714477539,1.44000005722046,7.65999984741211,13.240002144856726,8.376279679868322,4.8637224649884025,0.05266237427608133,0.3083129969577522,0.04014000150706893,0.0018869069961305177,0.27183909417125734,0.14477712033142287,0.5053485592964303,3.4015350305428543e-07,1.8094275541362806e-06,2.5832427125070914
2017,CA-500,7394.0,1946.0,5448.0,1931575,53.9528056137731,2.84897089004517,8.60000038146973,18.3329792022705,23.7083988189697,43.4620361328125,2.83970355987549,1,869,7.84833192825317,1,0,3.79911613464355,46.6599998474121,9.0924243927002,3.55262470245361,87.0,4.93077993392944,45283,498365,696606,6531,478042,247868,956992,-63,-0.775141000747681,20.9914474487305,15.9812927246094,4.46615314483643,48.7713050842285,11.59192,0.15923447906971,45.7200012207031,70.2566680908203,12.6800003051758,29.6399993896484,38.27964226084931,10.074679989128043,28.204962271721264,0.023443562895564502,0.2580096553330831,0.36064144545254523,0.0033811785718908145,0.24748818968976094,0.12832429494065722,0.4954464620840506,6.5645912300458435e-06,1.5344990171051293e-05,3.6449182212132203
2017,CA-501,6858.0,2505.0,4353.0,876103,51.9187099149968,2.75556969642639,5.90000009536743,18.0350246429443,21.2668857574463,63.1916770935059,2.53766107559204,1,593,6.1505560874939,1,0,3.27782225608826,51.8800010681152,10.0090970993042,5.53426790237427,91.0,48.3308563232422,44140,133569,305824,3293,131265,132382,429706,6970,-0.492235243320465,37.0914001464844,21.0645008087158,3.85083627700806,40.8061103820801,11.62713,0.23898421227932,49.1199989318848,61.6233329772949,10.6300001144409,28.8500003814697,78.27846725784526,28.592528504068586,49.68593875377667,0.0503822039189456,0.15245810138762222,0.3490731112665976,0.003758690473608697,0.14982827361623005,0.1511032378613017,0.49047429354767647,1.2133276697421308e-05,3.2929918492996486e-05,4.36027256208382
2017,CA-502,5629.0,1766.0,3863.0,1653236,50.635363552415,2.59823536872864,8.80000019073486,18.7083587646484,26.0135059356689,47.4326286315918,2.76371955871582,1,1640,6.93097400665283,1,0,4.27527761459351,46.8800010681152,10.4876737594604,5.60663318634033,89.0,19.8331298828125,176617,372013,491202,13573,384619,216986,841109,6968,-0.522153794765472,24.9769172668457,21.1344814300537,5.01556968688965,54.1508140563965,12.11459,0.195850253105164,46.4900016784668,69.8433303833008,9.38000011444092,22.5500011444092,34.048375428553456,10.682080477318422,23.366294951235034,0.10683108763661087,0.22502111011374057,0.2971154753465325,0.008209959134690994,0.23264615578175166,0.13124925902895895,0.5087652337597294,5.673721183449259e-06,1.3639916590498392e-05,3.527782320107914
2017,CA-503,3665.0,1613.0,2052.0,1513260,31.7558928629971,2.23644518852234,12.8999996185303,17.7610950469971,29.0459938049316,44.7946739196777,5.10760307312012,1,5570,4.78140068054199,1,0,5.41551685333252,45.9799995422363,16.1082706451416,3.4248366355896,97.0,4.8382306098938,148371,348061,235861,16821,397806,202179,773889,9709,0.417619168758392,26.7393589019775,26.511474609375,8.61138343811035,70.2931365966797,11.05654,0.189020678400993,46.4500007629395,76.5933380126953,10.1800003051758,22.6700000762939,24.21923529334021,10.65910682896528,13.560128464374927,0.09804726220213314,0.23000740123970764,0.15586283916841787,0.011115736885928392,0.26288013956623446,0.13360493239760518,0.5114051782244955,6.72719843594346e-06,1.4980902208671279e-05,3.1871471642714275
2017,CA-504,2835.0,988.0,1847.0,503833,36.6759476465043,2.53449010848999,11.8999996185303,18.909460067749,28.8880577087402,40.3447914123535,3.32050395011902,0,0,5.08138370513916,0,1,3.97834730148315,45.9300003051758,9.24989032745361,3.06047058105469,94.0,9.15009307861328,7745,134005,20586,1473,113373,91402,257405,1041,-0.156101435422897,27.892068862915,20.8036155700684,8.25625133514404,68.5037384033203,11.00957,0.193368583917618,46.3499984741211,65.8600006103516,19.5799999237061,49.5599975585938,56.26864457072086,19.60967225251224,36.65897231820861,0.01537215704409993,0.26597106580950436,0.04085877661844302,0.0029235877761083534,0.22502098909757798,0.18141328575142954,0.5108934905018131,3.8862083118227865e-05,9.836592195944649e-05,4.0301374451991565
